Year,GDP_Growth_Pct,GDP_USD,Inflation_Pct,Unemployment_Pct
2025,,,,2.235
2024,5.69201612823412,461617509782.355,3.21260487006347,2.202
2023,5.51894967862863,437055627244.424,5.97802515541409,2.2
2022,7.58098212785563,404353369604.631,5.82115811213955,2.598
2021,5.71473313185116,394087359848.11,3.92718022100332,3.398
2020,-9.51829474045297,361751145451.597,2.3931623931624,2.522
2019,6.11852566221303,376823402239.136,2.39206534422404,2.237
2018,6.34148557153473,346841896587.313,5.30934661627707,2.338
2017,6.9309883258402,328480736802.76,2.85318772590947,2.552
2016,7.14945675000752,318627003016.731,1.25369880080982,2.695
2015,6.34830971672761,306445871242.322,0.674192536845408,3.068
2014,6.34798748260867,297483555338.044,3.59782343864211,3.6
2013,6.75053130142255,283902828588.718,2.58268766141795,3.497
2012,6.89695171050985,261920540962.63,3.02696391124796,3.504
2011,3.85823282795663,234216730291.32,4.7184170471842,3.592
2010,7.33449996034538,208368893151.144,3.78983634797591,3.605
2009,1.44832306275669,175974755881.372,4.21903052064628,3.858
2008,4.34448730509183,181624626327.361,8.26044703595725,3.72
2007,6.51929155018938,155980408673.403,2.90000000000003,3.434
2006,5.31641682136939,127652926368.069,5.4852320675105,4.052
2005,4.94250511877678,107419977318.166,6.51685393258433,3.795
2004,6.56922851180626,95001999685.3314,4.82921083627795,3.554
2003,5.08691113513073,87039092974.2272,2.28915662650607,3.527
2002,3.71625500158383,84307345887.543,2.72277227722765,3.616
2001,3.04923134463486,78921234457.5487,5.34550195567142,3.698
2000,4.38250500083399,83669788376.9213,3.9771250324928,3.77
1999,3.34645118398267,85640171045.1254,5.93904901780808,3.751
1998,-0.514090599541888,74492416329.9142,9.23493432267121,3.697
1997,5.18641167406165,94106317565.0846,5.59025939650601,3.592
1996,5.8603478716379,94648084429.0341,7.4761037778791,3.607
1995,4.62522511739661,84644328727.4825,6.83199610989534,3.68
1994,4.37366591819077,73159336915.2718,10.3864734299517,3.767
1993,2.181889985613,62036529147.1831,6.71631104109973,3.869
1992,0.417629066097945,60422328242.1803,8.65100357865265,3.849
1991,-0.436390080533428,51784144942.727,19.2614585266282,3.727
1990,3.08267252855887,50508286641.5746,12.1773522064946,
1989,6.18391820283388,48513773720.673,12.2429906542055,
1988,6.69693110468185,43152128958.6116,13.8600691673319,
1987,4.36180967277697,37791488666.0743,4.06976744186024,
1986,3.51068403005506,33987207294.9432,1.14813777653338,
1985,-6.85837720864683,34961486348.2382,23.1031071803888,
1984,-7.0393782012259,35730185633.5233,50.3389756374498,
1983,1.89695178959097,37759179894.5298,10.0293565620481,
1982,3.69840609851109,42206011275.1757,10.2217271376892,
1981,3.42220873753665,40499388869.1271,13.0825985241676,
1980,5.20071107911187,36848080898.8112,18.2005104938508,
1979,5.59557107591131,31218296292.1295,17.5333333327501,
1978,5.19238453027808,25762224562.6316,7.33452593917692,
1977,5.56297025151267,22283109803.3521,9.89875159736566,
1976,8.77840333051334,19381055197.2794,9.19922713611011,
